Drug;Type;Reaction
NUCYNTA;ADVERSE REACTIONS;Pruritus generalised
NUCYNTA;ADVERSE REACTIONS;Pruritus
NUCYNTA;ADVERSE REACTIONS;Rash
NUCYNTA;ADVERSE REACTIONS;Respiratory depression
NUCYNTA;ADVERSE REACTIONS;Restlessness
NUCYNTA;ADVERSE REACTIONS;Sedation
NUCYNTA;ADVERSE REACTIONS;Seizure
NUCYNTA;ADVERSE REACTIONS;Seizure
NUCYNTA;ADVERSE REACTIONS;Serotonin syndrome
NUCYNTA;ADVERSE REACTIONS;Somnolence
NUCYNTA;ADVERSE REACTIONS;Suicidal ideation
NUCYNTA;ADVERSE REACTIONS;Syncope
NUCYNTA;ADVERSE REACTIONS;Thinking abnormal
NUCYNTA;ADVERSE REACTIONS;Tremor
NUCYNTA;ADVERSE REACTIONS;Upper respiratory tract infection
NUCYNTA;ADVERSE REACTIONS;Urinary hesitation
NUCYNTA;ADVERSE REACTIONS;Urinary tract infection
NUCYNTA;ADVERSE REACTIONS;Urticaria
NUCYNTA;ADVERSE REACTIONS;Visual impairment
NUCYNTA;ADVERSE REACTIONS;Vomiting
NUCYNTA;WARNINGS AND PRECAUTIONS;Apnoea
NUCYNTA;WARNINGS AND PRECAUTIONS;Blood pressure decreased
NUCYNTA;WARNINGS AND PRECAUTIONS;Cardiac output decreased
NUCYNTA;WARNINGS AND PRECAUTIONS;Coma
NUCYNTA;WARNINGS AND PRECAUTIONS;Death
NUCYNTA;WARNINGS AND PRECAUTIONS;Depressed level of consciousness
NUCYNTA;WARNINGS AND PRECAUTIONS;Hypercapnia
NUCYNTA;WARNINGS AND PRECAUTIONS;Hypopnoea
NUCYNTA;WARNINGS AND PRECAUTIONS;Hypotension
NUCYNTA;WARNINGS AND PRECAUTIONS;Hypotension
NUCYNTA;WARNINGS AND PRECAUTIONS;Impaired driving ability
NUCYNTA;WARNINGS AND PRECAUTIONS;Impaired work ability
NUCYNTA;WARNINGS AND PRECAUTIONS;Intracranial pressure increased
NUCYNTA;WARNINGS AND PRECAUTIONS;Mental disability
NUCYNTA;WARNINGS AND PRECAUTIONS;Obstructive airways disorder
NUCYNTA;WARNINGS AND PRECAUTIONS;Overdose
NUCYNTA;WARNINGS AND PRECAUTIONS;Physical disability
NUCYNTA;WARNINGS AND PRECAUTIONS;Respiratory depression
NUCYNTA;WARNINGS AND PRECAUTIONS;Sedation
NUCYNTA;WARNINGS AND PRECAUTIONS;Seizure
NUCYNTA;WARNINGS AND PRECAUTIONS;Seizure
NUCYNTA;WARNINGS AND PRECAUTIONS;Serotonin syndrome
NUCYNTA;WARNINGS AND PRECAUTIONS;Vasodilatation
NUCYNTA;WARNINGS AND PRECAUTIONS;
Natazia;BOXED WARNINGS;Cardiovascular symptom
Natazia;ADVERSE REACTIONS;Abdominal pain
Natazia;ADVERSE REACTIONS;Abnormal withdrawal bleeding
Natazia;ADVERSE REACTIONS;Acne
Natazia;ADVERSE REACTIONS;Affect lability
Natazia;ADVERSE REACTIONS;Angioedema
Natazia;ADVERSE REACTIONS;Angiopathy
Natazia;ADVERSE REACTIONS;Breast discomfort
Natazia;ADVERSE REACTIONS;Breast pain
Natazia;ADVERSE REACTIONS;Breast tenderness
Natazia;ADVERSE REACTIONS;Cardiovascular symptom
Natazia;ADVERSE REACTIONS;Cerebral thrombosis
Natazia;ADVERSE REACTIONS;Cerebrovascular accident
Natazia;ADVERSE REACTIONS;Chloasma
Natazia;ADVERSE REACTIONS;Cholecystitis acute
Natazia;ADVERSE REACTIONS;Cholecystitis
Natazia;ADVERSE REACTIONS;Crying
Natazia;ADVERSE REACTIONS;Deep vein thrombosis
Natazia;ADVERSE REACTIONS;Depressed mood
Natazia;ADVERSE REACTIONS;Depression
Natazia;ADVERSE REACTIONS;Dizziness
Natazia;ADVERSE REACTIONS;Dysfunctional uterine bleeding
Natazia;ADVERSE REACTIONS;Dysthymic disorder
Natazia;ADVERSE REACTIONS;Embolism arterial
Natazia;ADVERSE REACTIONS;Embolism venous
Natazia;ADVERSE REACTIONS;Erythema multiforme
Natazia;ADVERSE REACTIONS;Erythema nodosum
Natazia;ADVERSE REACTIONS;Fluid retention
Natazia;ADVERSE REACTIONS;Focal nodular hyperplasia
Natazia;ADVERSE REACTIONS;Gallbladder disorder
Natazia;ADVERSE REACTIONS;Gastrointestinal disorder
Natazia;ADVERSE REACTIONS;Genital haemorrhage
Natazia;ADVERSE REACTIONS;Headache
Natazia;ADVERSE REACTIONS;Hepatitis
Natazia;ADVERSE REACTIONS;Hypersensitivity
Natazia;ADVERSE REACTIONS;Hypertension
Natazia;ADVERSE REACTIONS;Hypertriglyceridaemia
Natazia;ADVERSE REACTIONS;Liver disorder
Natazia;ADVERSE REACTIONS;Menorrhagia
Natazia;ADVERSE REACTIONS;Menstrual disorder
Natazia;ADVERSE REACTIONS;Menstruation irregular
Natazia;ADVERSE REACTIONS;Metrorrhagia
Natazia;ADVERSE REACTIONS;Migraine
Natazia;ADVERSE REACTIONS;Mood altered
Natazia;ADVERSE REACTIONS;Mood altered
Natazia;ADVERSE REACTIONS;Mood swings
Natazia;ADVERSE REACTIONS;Myocardial infarction
Natazia;ADVERSE REACTIONS;Nausea
Natazia;ADVERSE REACTIONS;Ovarian cyst ruptured
Natazia;ADVERSE REACTIONS;Pulmonary embolism
Natazia;ADVERSE REACTIONS;Uterine haemorrhage
Natazia;ADVERSE REACTIONS;Uterine leiomyoma
Natazia;ADVERSE REACTIONS;Vaginal haemorrhage
Natazia;ADVERSE REACTIONS;Vomiting
Natazia;ADVERSE REACTIONS;Vulvovaginal candidiasis
Natazia;ADVERSE REACTIONS;Weight increased
Natazia;WARNINGS AND PRECAUTIONS;Amenorrhoea
Natazia;WARNINGS AND PRECAUTIONS;Angioedema
Natazia;WARNINGS AND PRECAUTIONS;Arterial thrombosis
Natazia;WARNINGS AND PRECAUTIONS;Blood pressure increased
Natazia;WARNINGS AND PRECAUTIONS;Carbohydrate metabolism disorder
Natazia;WARNINGS AND PRECAUTIONS;Cerebrovascular accident
Natazia;WARNINGS AND PRECAUTIONS;Cerebrovascular disorder
Natazia;WARNINGS AND PRECAUTIONS;Cervical dysplasia
Natazia;WARNINGS AND PRECAUTIONS;Cervix carcinoma
Natazia;WARNINGS AND PRECAUTIONS;Chloasma
Natazia;WARNINGS AND PRECAUTIONS;Cholestasis
Natazia;WARNINGS AND PRECAUTIONS;Death
Natazia;WARNINGS AND PRECAUTIONS;Embolism venous
Natazia;WARNINGS AND PRECAUTIONS;Embolism
Natazia;WARNINGS AND PRECAUTIONS;Gallbladder disorder
Natazia;WARNINGS AND PRECAUTIONS;Glucose tolerance decreased
Natazia;WARNINGS AND PRECAUTIONS;Haemorrhagic stroke
Natazia;WARNINGS AND PRECAUTIONS;Headache
Natazia;WARNINGS AND PRECAUTIONS;Headache
Natazia;WARNINGS AND PRECAUTIONS;Hepatic adenoma
Natazia;WARNINGS AND PRECAUTIONS;Hepatic cancer
Natazia;WARNINGS AND PRECAUTIONS;Hepatic rupture
Natazia;WARNINGS AND PRECAUTIONS;Hepatocellular carcinoma
Natazia;WARNINGS AND PRECAUTIONS;Hypertension
Natazia;WARNINGS AND PRECAUTIONS;Hypertension
Natazia;WARNINGS AND PRECAUTIONS;Intra-abdominal haemorrhage
Natazia;WARNINGS AND PRECAUTIONS;Lipids abnormal
Natazia;WARNINGS AND PRECAUTIONS;Liver disorder
Natazia;WARNINGS AND PRECAUTIONS;Metrorrhagia
Natazia;WARNINGS AND PRECAUTIONS;Metrorrhagia
Natazia;WARNINGS AND PRECAUTIONS;Migraine
Natazia;WARNINGS AND PRECAUTIONS;Myocardial infarction
Natazia;WARNINGS AND PRECAUTIONS;Oligomenorrhoea
Natazia;WARNINGS AND PRECAUTIONS;Pancreatitis
Natazia;WARNINGS AND PRECAUTIONS;Thrombosis
Natazia;WARNINGS AND PRECAUTIONS;Thrombotic stroke
Natazia;WARNINGS AND PRECAUTIONS;Thyroxin binding globulin increased
Natazia;WARNINGS AND PRECAUTIONS;Uterine haemorrhage
Natazia;WARNINGS AND PRECAUTIONS;Vaginal haemorrhage
EDURANT;ADVERSE REACTIONS;ACTH stimulation test abnormal
EDURANT;ADVERSE REACTIONS;Abdominal discomfort
EDURANT;ADVERSE REACTIONS;Abdominal pain
EDURANT;ADVERSE REACTIONS;Abnormal dreams
EDURANT;ADVERSE REACTIONS;Adrenal insufficiency
EDURANT;ADVERSE REACTIONS;Alanine aminotransferase increased
EDURANT;ADVERSE REACTIONS;Anxiety
EDURANT;ADVERSE REACTIONS;Aspartate aminotransferase increased
EDURANT;ADVERSE REACTIONS;Blood bilirubin increased
EDURANT;ADVERSE REACTIONS;Blood cholesterol abnormal
EDURANT;ADVERSE REACTIONS;Blood cholesterol increased
EDURANT;ADVERSE REACTIONS;Blood cortisol abnormal
EDURANT;ADVERSE REACTIONS;Blood cortisol increased
EDURANT;ADVERSE REACTIONS;Blood creatinine increased
EDURANT;ADVERSE REACTIONS;Blood creatinine increased
EDURANT;ADVERSE REACTIONS;Blood triglycerides abnormal
EDURANT;ADVERSE REACTIONS;Blood triglycerides increased
EDURANT;ADVERSE REACTIONS;Cholecystitis
EDURANT;ADVERSE REACTIONS;Cholelithiasis
EDURANT;ADVERSE REACTIONS;Decreased appetite
EDURANT;ADVERSE REACTIONS;Depression
EDURANT;ADVERSE REACTIONS;Depression
EDURANT;ADVERSE REACTIONS;Diarrhoea
EDURANT;ADVERSE REACTIONS;Dizziness
EDURANT;ADVERSE REACTIONS;Drug reaction with eosinophilia and systemic symptoms
EDURANT;ADVERSE REACTIONS;Drug reaction with eosinophilia and systemic symptoms
EDURANT;ADVERSE REACTIONS;Fatigue
EDURANT;ADVERSE REACTIONS;Glomerulonephritis membranous
EDURANT;ADVERSE REACTIONS;Headache
EDURANT;ADVERSE REACTIONS;Hepatic enzyme increased
EDURANT;ADVERSE REACTIONS;Hepatotoxicity
EDURANT;ADVERSE REACTIONS;High density lipoprotein abnormal
EDURANT;ADVERSE REACTIONS;Hypersensitivity
EDURANT;ADVERSE REACTIONS;Insomnia
EDURANT;ADVERSE REACTIONS;Low density lipoprotein abnormal
EDURANT;ADVERSE REACTIONS;Low density lipoprotein increased
EDURANT;ADVERSE REACTIONS;Mental disorder
EDURANT;ADVERSE REACTIONS;Mesangioproliferative glomerulonephritis
EDURANT;ADVERSE REACTIONS;Nausea
EDURANT;ADVERSE REACTIONS;Nephrolithiasis
EDURANT;ADVERSE REACTIONS;Nephrotic syndrome
EDURANT;ADVERSE REACTIONS;Rash
EDURANT;ADVERSE REACTIONS;Rash
EDURANT;ADVERSE REACTIONS;Skin reaction
EDURANT;ADVERSE REACTIONS;Sleep disorder
EDURANT;ADVERSE REACTIONS;Somnolence
EDURANT;ADVERSE REACTIONS;Vomiting
EDURANT;WARNINGS AND PRECAUTIONS;Autoimmune disorder
EDURANT;WARNINGS AND PRECAUTIONS;Basedow's disease
EDURANT;WARNINGS AND PRECAUTIONS;Body fat disorder
EDURANT;WARNINGS AND PRECAUTIONS;Breast enlargement
EDURANT;WARNINGS AND PRECAUTIONS;Cachexia
EDURANT;WARNINGS AND PRECAUTIONS;Central obesity
EDURANT;WARNINGS AND PRECAUTIONS;Cushingoid
EDURANT;WARNINGS AND PRECAUTIONS;Cytomegalovirus infection
EDURANT;WARNINGS AND PRECAUTIONS;Depressed mood
EDURANT;WARNINGS AND PRECAUTIONS;Depression
EDURANT;WARNINGS AND PRECAUTIONS;Depression
EDURANT;WARNINGS AND PRECAUTIONS;Drug reaction with eosinophilia and systemic symptoms
EDURANT;WARNINGS AND PRECAUTIONS;Drug reaction with eosinophilia and systemic symptoms
EDURANT;WARNINGS AND PRECAUTIONS;Dysphoria
EDURANT;WARNINGS AND PRECAUTIONS;Electrocardiogram QT prolonged
EDURANT;WARNINGS AND PRECAUTIONS;Facial wasting
EDURANT;WARNINGS AND PRECAUTIONS;Fat redistribution
EDURANT;WARNINGS AND PRECAUTIONS;Guillain-Barre syndrome
EDURANT;WARNINGS AND PRECAUTIONS;Hepatic function abnormal
EDURANT;WARNINGS AND PRECAUTIONS;Hepatotoxicity
EDURANT;WARNINGS AND PRECAUTIONS;Hypersensitivity
EDURANT;WARNINGS AND PRECAUTIONS;Immune reconstitution inflammatory syndrome
EDURANT;WARNINGS AND PRECAUTIONS;Inflammation
EDURANT;WARNINGS AND PRECAUTIONS;Lipodystrophy acquired
EDURANT;WARNINGS AND PRECAUTIONS;Lipohypertrophy
EDURANT;WARNINGS AND PRECAUTIONS;Liver function test abnormal
EDURANT;WARNINGS AND PRECAUTIONS;Major depression
EDURANT;WARNINGS AND PRECAUTIONS;Mood altered
EDURANT;WARNINGS AND PRECAUTIONS;Mycobacterium avium complex infection
EDURANT;WARNINGS AND PRECAUTIONS;Negative thoughts
EDURANT;WARNINGS AND PRECAUTIONS;Opportunistic infection
EDURANT;WARNINGS AND PRECAUTIONS;Organ failure
EDURANT;WARNINGS AND PRECAUTIONS;Pneumocystis jirovecii pneumonia
EDURANT;WARNINGS AND PRECAUTIONS;Polymyositis
EDURANT;WARNINGS AND PRECAUTIONS;Pyrexia
EDURANT;WARNINGS AND PRECAUTIONS;Rash
EDURANT;WARNINGS AND PRECAUTIONS;Skin reaction
EDURANT;WARNINGS AND PRECAUTIONS;Suicidal ideation
EDURANT;WARNINGS AND PRECAUTIONS;Suicide attempt
EDURANT;WARNINGS AND PRECAUTIONS;Transaminases increased
EDURANT;WARNINGS AND PRECAUTIONS;Tuberculosis
ISTODAX;ADVERSE REACTIONS;Abdominal pain
ISTODAX;ADVERSE REACTIONS;Acute kidney injury
ISTODAX;ADVERSE REACTIONS;Acute respiratory distress syndrome
ISTODAX;ADVERSE REACTIONS;Alanine aminotransferase increased
ISTODAX;ADVERSE REACTIONS;Anaemia
ISTODAX;ADVERSE REACTIONS;Arrhythmia supraventricular
ISTODAX;ADVERSE REACTIONS;Aspartate aminotransferase increased
ISTODAX;ADVERSE REACTIONS;Asthenia
ISTODAX;ADVERSE REACTIONS;Bone marrow failure
ISTODAX;ADVERSE REACTIONS;Candida sepsis
ISTODAX;ADVERSE REACTIONS;Cardiogenic shock
ISTODAX;ADVERSE REACTIONS;Cardiopulmonary failure
ISTODAX;ADVERSE REACTIONS;Cellulitis
ISTODAX;ADVERSE REACTIONS;Chest pain
ISTODAX;ADVERSE REACTIONS;Chills
ISTODAX;ADVERSE REACTIONS;Constipation
ISTODAX;ADVERSE REACTIONS;Cough
ISTODAX;ADVERSE REACTIONS;Death
ISTODAX;ADVERSE REACTIONS;Death
ISTODAX;ADVERSE REACTIONS;Decreased appetite
ISTODAX;ADVERSE REACTIONS;Deep vein thrombosis
ISTODAX;ADVERSE REACTIONS;Dehydration
ISTODAX;ADVERSE REACTIONS;Dermatitis exfoliative
ISTODAX;ADVERSE REACTIONS;Dermatitis
ISTODAX;ADVERSE REACTIONS;Device related infection
ISTODAX;ADVERSE REACTIONS;Device related infection
ISTODAX;ADVERSE REACTIONS;Diarrhoea
ISTODAX;ADVERSE REACTIONS;Dysgeusia
ISTODAX;ADVERSE REACTIONS;Dyspnoea
ISTODAX;ADVERSE REACTIONS;Electrocardiogram QT prolonged
ISTODAX;ADVERSE REACTIONS;Electrocardiogram ST-T change
ISTODAX;ADVERSE REACTIONS;Electrocardiogram T wave abnormal
ISTODAX;ADVERSE REACTIONS;Electrocardiogram change
ISTODAX;ADVERSE REACTIONS;Epstein-Barr virus infection
ISTODAX;ADVERSE REACTIONS;Fatigue
ISTODAX;ADVERSE REACTIONS;Febrile neutropenia
ISTODAX;ADVERSE REACTIONS;Headache
ISTODAX;ADVERSE REACTIONS;Hepatitis B
ISTODAX;ADVERSE REACTIONS;Hyperbilirubinaemia
ISTODAX;ADVERSE REACTIONS;Hyperglycaemia
ISTODAX;ADVERSE REACTIONS;Hypermagnesaemia
ISTODAX;ADVERSE REACTIONS;Hypersensitivity
ISTODAX;ADVERSE REACTIONS;Hyperuricaemia
ISTODAX;ADVERSE REACTIONS;Hypoalbuminaemia
ISTODAX;ADVERSE REACTIONS;Hypocalcaemia
ISTODAX;ADVERSE REACTIONS;Hypokalaemia
ISTODAX;ADVERSE REACTIONS;Hypomagnesaemia
ISTODAX;ADVERSE REACTIONS;Hyponatraemia
ISTODAX;ADVERSE REACTIONS;Hypophosphataemia
ISTODAX;ADVERSE REACTIONS;Hypotension
ISTODAX;ADVERSE REACTIONS;Hypoxia
ISTODAX;ADVERSE REACTIONS;Infection
ISTODAX;ADVERSE REACTIONS;Leukopenia
ISTODAX;ADVERSE REACTIONS;Lymphopenia
ISTODAX;ADVERSE REACTIONS;Multi-organ failure
ISTODAX;ADVERSE REACTIONS;Myocardial ischaemia
ISTODAX;ADVERSE REACTIONS;Nausea
ISTODAX;ADVERSE REACTIONS;Neutropenia
ISTODAX;ADVERSE REACTIONS;Oedema peripheral
ISTODAX;ADVERSE REACTIONS;Oedema
ISTODAX;ADVERSE REACTIONS;Pneumonia
ISTODAX;ADVERSE REACTIONS;Pneumonitis
ISTODAX;ADVERSE REACTIONS;Pruritus
ISTODAX;ADVERSE REACTIONS;Pulmonary embolism
ISTODAX;ADVERSE REACTIONS;Pyrexia
ISTODAX;ADVERSE REACTIONS;Sepsis
ISTODAX;ADVERSE REACTIONS;Septic shock
ISTODAX;ADVERSE REACTIONS;Stomatitis
ISTODAX;ADVERSE REACTIONS;Syncope
ISTODAX;ADVERSE REACTIONS;Tachycardia
ISTODAX;ADVERSE REACTIONS;Thrombocytopenia
ISTODAX;ADVERSE REACTIONS;Tumour lysis syndrome
ISTODAX;ADVERSE REACTIONS;Ventricular arrhythmia
ISTODAX;ADVERSE REACTIONS;Vomiting
ISTODAX;ADVERSE REACTIONS;Weight decreased
ISTODAX;WARNINGS AND PRECAUTIONS;Anaemia
ISTODAX;WARNINGS AND PRECAUTIONS;Death
ISTODAX;WARNINGS AND PRECAUTIONS;Electrocardiogram ST segment abnormal
ISTODAX;WARNINGS AND PRECAUTIONS;Electrocardiogram T wave abnormal
ISTODAX;WARNINGS AND PRECAUTIONS;Electrocardiogram change
ISTODAX;WARNINGS AND PRECAUTIONS;Electrocardiogram change
ISTODAX;WARNINGS AND PRECAUTIONS;Epstein-Barr virus infection
ISTODAX;WARNINGS AND PRECAUTIONS;Foetal damage
ISTODAX;WARNINGS AND PRECAUTIONS;Foetal death
ISTODAX;WARNINGS AND PRECAUTIONS;Hepatic failure
ISTODAX;WARNINGS AND PRECAUTIONS;Hepatitis B
ISTODAX;WARNINGS AND PRECAUTIONS;Infection reactivation
ISTODAX;WARNINGS AND PRECAUTIONS;Infection
ISTODAX;WARNINGS AND PRECAUTIONS;Leukopenia
ISTODAX;WARNINGS AND PRECAUTIONS;Lymphopenia
ISTODAX;WARNINGS AND PRECAUTIONS;Neutropenia
ISTODAX;WARNINGS AND PRECAUTIONS;Pneumonia
ISTODAX;WARNINGS AND PRECAUTIONS;Sepsis
ISTODAX;WARNINGS AND PRECAUTIONS;Thrombocytopenia
ISTODAX;WARNINGS AND PRECAUTIONS;Tumour lysis syndrome
ISTODAX;WARNINGS AND PRECAUTIONS;Viral infection
ISTODAX;WARNINGS AND PRECAUTIONS;Viral test positive
Ella;ADVERSE REACTIONS;Abdominal pain upper
Ella;ADVERSE REACTIONS;Abdominal pain
Ella;ADVERSE REACTIONS;Acne
Ella;ADVERSE REACTIONS;Dizziness
Ella;ADVERSE REACTIONS;Dysmenorrhoea
Ella;ADVERSE REACTIONS;Fatigue
Ella;ADVERSE REACTIONS;Headache
Ella;ADVERSE REACTIONS;Nausea
Ella;WARNINGS AND PRECAUTIONS;Ectopic pregnancy
Ella;WARNINGS AND PRECAUTIONS;Menstrual disorder
Ella;WARNINGS AND PRECAUTIONS;Menstruation delayed
Ella;WARNINGS AND PRECAUTIONS;Menstruation irregular
Ella;WARNINGS AND PRECAUTIONS;Metrorrhagia
Ella;WARNINGS AND PRECAUTIONS;Oligomenorrhoea
Lexiscan;ADVERSE REACTIONS;Abdominal discomfort
Lexiscan;ADVERSE REACTIONS;Abdominal pain
Lexiscan;ADVERSE REACTIONS;Anaphylactic reaction
Lexiscan;ADVERSE REACTIONS;Angina pectoris
Lexiscan;ADVERSE REACTIONS;Angioedema
Lexiscan;ADVERSE REACTIONS;Arrhythmia supraventricular
Lexiscan;ADVERSE REACTIONS;Arrhythmia
Lexiscan;ADVERSE REACTIONS;Atrial fibrillation
Lexiscan;ADVERSE REACTIONS;Atrial fibrillation
Lexiscan;ADVERSE REACTIONS;Atrial flutter
Lexiscan;ADVERSE REACTIONS;Atrioventricular block complete
Lexiscan;ADVERSE REACTIONS;Atrioventricular block first degree
Lexiscan;ADVERSE REACTIONS;Atrioventricular block first degree
Lexiscan;ADVERSE REACTIONS;Atrioventricular block second degree
Lexiscan;ADVERSE REACTIONS;Atrioventricular block
Lexiscan;ADVERSE REACTIONS;Atrioventricular block
Lexiscan;ADVERSE REACTIONS;Atrioventricular block
Lexiscan;ADVERSE REACTIONS;Atrioventricular conduction time shortened
Lexiscan;ADVERSE REACTIONS;Back pain
Lexiscan;ADVERSE REACTIONS;Bronchospasm
Lexiscan;ADVERSE REACTIONS;Cardiac arrest
Lexiscan;ADVERSE REACTIONS;Cardiac arrest
Lexiscan;ADVERSE REACTIONS;Cerebrovascular accident
Lexiscan;ADVERSE REACTIONS;Cerebrovascular accident
Lexiscan;ADVERSE REACTIONS;Chest discomfort
Lexiscan;ADVERSE REACTIONS;Chest pain
Lexiscan;ADVERSE REACTIONS;Conduction disorder
Lexiscan;ADVERSE REACTIONS;Conduction disorder
Lexiscan;ADVERSE REACTIONS;Diarrhoea
Lexiscan;ADVERSE REACTIONS;Dizziness
Lexiscan;ADVERSE REACTIONS;Dysgeusia
Lexiscan;ADVERSE REACTIONS;Dyspnoea exertional
Lexiscan;ADVERSE REACTIONS;Dyspnoea
Lexiscan;ADVERSE REACTIONS;Electrocardiogram PR prolongation
Lexiscan;ADVERSE REACTIONS;Electrocardiogram QT prolonged
Lexiscan;ADVERSE REACTIONS;Electrocardiogram ST segment depression
Lexiscan;ADVERSE REACTIONS;Faecal incontinence
Lexiscan;ADVERSE REACTIONS;Feeling hot
Lexiscan;ADVERSE REACTIONS;Flushing
Lexiscan;ADVERSE REACTIONS;Forced expiratory volume decreased
Lexiscan;ADVERSE REACTIONS;Haemorrhage intracranial
Lexiscan;ADVERSE REACTIONS;Headache
Lexiscan;ADVERSE REACTIONS;Hypersensitivity
Lexiscan;ADVERSE REACTIONS;Hypertension
Lexiscan;ADVERSE REACTIONS;Hypotension
Lexiscan;ADVERSE REACTIONS;Hypotension
Lexiscan;ADVERSE REACTIONS;Musculoskeletal pain
Lexiscan;ADVERSE REACTIONS;Musculoskeletal pain
Lexiscan;ADVERSE REACTIONS;Myalgia
Lexiscan;ADVERSE REACTIONS;Myocardial infarction
Lexiscan;ADVERSE REACTIONS;Myocardial ischaemia
Lexiscan;ADVERSE REACTIONS;Nausea
Lexiscan;ADVERSE REACTIONS;Obstructive airways disorder
Lexiscan;ADVERSE REACTIONS;Oxygen saturation decreased
Lexiscan;ADVERSE REACTIONS;Pain in extremity
Lexiscan;ADVERSE REACTIONS;Pain in extremity
Lexiscan;ADVERSE REACTIONS;Pain
Lexiscan;ADVERSE REACTIONS;Rash
Lexiscan;ADVERSE REACTIONS;Respiratory arrest
Lexiscan;ADVERSE REACTIONS;Respiratory distress
Lexiscan;ADVERSE REACTIONS;Respiratory symptom
Lexiscan;ADVERSE REACTIONS;Seizure
Lexiscan;ADVERSE REACTIONS;Seizure
Lexiscan;ADVERSE REACTIONS;Sinoatrial block
Lexiscan;ADVERSE REACTIONS;Supraventricular extrasystoles
Lexiscan;ADVERSE REACTIONS;Supraventricular tachyarrhythmia
Lexiscan;ADVERSE REACTIONS;Syncope
Lexiscan;ADVERSE REACTIONS;Tachypnoea
Lexiscan;ADVERSE REACTIONS;Throat tightness
Lexiscan;ADVERSE REACTIONS;Transient ischaemic attack
Lexiscan;ADVERSE REACTIONS;Tremor
